%-----------------------------------------------------------------
% Neuron11 
% Copyright (c) 2010 Javier G. Orlandi <javiergorlandi@gmail.com> 
%-----------------------------------------------------------------
% Generated Positional Map
% Format: Neuron # | X | Y
%-----------------------------------------------------------------
0 -1.62139 0.628373
1 -0.4724 -0.74081
2 -2.19331 1.42624
3 -1.94837 -0.461603
4 -2.32543 -1.5951
5 1.7238 2.14919
6 0.47271 -1.68328
7 -0.246359 0.946227
8 -0.786291 -2.40498
9 1.91157 2.14942
10 0.481706 -1.30065
11 1.90544 -1.06889
12 -0.0271006 -0.85095
13 0.5683 2.18905
14 -0.443987 1.97926
15 -1.47248 -1.85896
16 0.946845 1.19453
17 0.883635 0.324101
18 1.20408 -2.07251
19 2.07303 0.560499
20 1.2559 -2.32576
21 -0.586216 -0.0503786
22 1.28443 0.603389
23 2.46709 0.132906
24 0.888489 0.1346
25 0.499577 -0.86351
26 -0.849123 -1.57751
27 1.03835 0.77773
28 -1.12807 -2.16747
29 0.990058 -1.69397
30 1.49396 -2.35867
31 -1.09516 0.505975
32 1.76789 -1.08377
33 -0.489024 0.462264
34 0.986251 -1.67228
35 2.16981 -0.940726
36 -1.96027 -0.376203
37 0.916456 -1.32119
38 -0.341681 1.13853
39 0.291067 -1.07879
40 -2.00421 -2.30215
41 -2.31974 1.99575
42 -2.29136 0.241291
43 0.978768 2.39149
44 -0.114664 -0.606326
45 1.01483 -1.65175
46 -0.0568396 1.96723
47 -1.6331 2.08867
48 -2.41434 -0.822305
49 2.22083 0.905922
50 1.94045 -1.86862
51 0.539996 -0.79612
52 1.83959 1.26465
53 1.5193 -2.05818
54 -0.261727 2.14566
55 -0.0870132 0.499032
56 -1.43547 -1.78344
57 -0.0570519 0.72781
58 1.23168 1.72198
59 -1.88352 -0.326878
60 -0.295289 2.46149
61 1.92225 0.990402
62 2.49336 1.71018
63 -1.59336 0.823391
64 1.88769 0.0207699
65 -1.9966 1.48345
66 -2.31206 0.818766
67 -0.159088 -0.0846031
68 -2.21315 -0.535913
69 -0.268472 0.997399
70 2.02641 -1.42039
71 -1.00206 0.233078
72 1.55258 -2.4538
73 0.940528 -1.88974
74 0.591801 -0.374604
75 -2.03472 1.70989
76 -0.644673 -1.04954
77 2.25541 -1.60115
78 0.0871278 0.714282
79 1.93459 -0.817083
80 1.14349 -1.04414
81 0.938659 0.367448
82 0.823191 -1.84327
83 -2.47373 0.199367
84 -0.78707 1.67641
85 -0.866942 -1.7039
86 2.4334 1.32964
87 2.0917 -1.05032
88 0.867538 2.36358
89 -1.60196 0.612189
90 -0.0436801 1.41396
91 -1.02707 0.544909
92 1.20233 -0.28278
93 -2.05171 -0.1826
94 -1.46866 1.09774
95 1.47931 2.46427
96 -1.78554 0.346258
97 0.240525 -0.0393732
98 0.767269 -0.313117
99 0.567828 -1.18464
100 2.13221 -2.44595
101 1.49274 -2.22139
102 -0.586623 0.73814
103 0.843102 1.49693
104 1.26698 -0.0532952
105 1.59156 -1.19655
106 -1.49643 1.21404
107 -2.36704 -1.68518
108 2.45883 -1.53328
109 -0.367858 2.18915
110 -0.78197 1.91026
111 2.2264 -0.52694
112 -0.732866 2.07898
113 -1.35779 0.00877927
114 -1.4221 -2.0547
115 0.187534 -2.32095
116 -0.99511 2.08704
117 -0.0424808 -1.84779
118 1.80538 1.49523
119 0.579136 2.00812
120 0.566248 1.52419
121 1.86863 0.652478
122 -0.128005 -2.06542
123 0.862864 1.01547
124 -1.83343 -1.15794
125 -0.650681 -2.30515
126 1.17326 2.08544
127 -1.50053 -1.7957
128 2.28013 -0.25898
129 -0.312416 -2.33549
130 -1.15784 0.209805
131 -0.45132 0.431804
132 -2.40569 -0.606948
133 -0.330214 1.005
134 2.26689 -1.20411
135 1.85719 -1.46866
136 1.19685 -1.74974
137 0.391109 0.363194
138 -2.19244 1.1211
139 1.07542 -1.52667
140 0.465133 -0.827358
141 -1.83542 1.01764
142 1.05006 0.752555
143 -0.627476 -2.36331
144 -1.42485 -1.39061
145 0.804946 -2.40289
146 1.41059 0.233029
147 0.3219 -0.351008
148 -0.793404 1.76219
149 1.48423 -2.17509
150 1.32662 -1.85566
151 -1.89669 -0.13361
152 -2.33204 0.127621
153 2.49341 1.37218
154 1.62299 -1.57449
155 1.58508 0.293529
156 0.357258 1.10543
157 -0.482052 1.42018
158 -0.167923 -0.305107
159 0.990603 -2.40743
160 -1.02393 1.67666
161 1.39648 1.04783
162 2.08544 0.618464
163 -1.11617 1.09389
164 2.42729 0.178963
165 -2.25303 -0.0602311
166 2.19357 0.101874
167 -2.06431 -1.0908
168 -1.33287 1.68404
169 1.48032 -0.245287
170 0.748579 -0.666222
171 0.276393 -0.0350542
172 0.787035 1.84202
173 -0.40036 2.36976
174 0.208719 -0.946125
175 -0.520122 -2.36697
176 2.2168 -1.51078
177 0.691664 2.13837
178 0.780104 0.0561768
179 -2.11566 1.37561
180 0.437205 -1.73517
181 1.00886 -0.520001
182 0.476257 0.956016
183 -1.04387 -1.91552
184 -1.7531 1.95977
185 0.0313236 2.36762
186 2.45405 2.29874
187 2.19137 -1.64443
188 -1.17207 -1.94112
189 -0.0662656 -1.3178
190 -0.815138 -0.651418
191 -0.947924 1.93623
192 -0.734887 -2.26559
193 2.29804 -1.37632
194 -0.63435 -1.63792
195 2.11272 -0.227891
196 -1.9988 1.9284
197 -1.97925 -0.510525
198 -1.43487 1.54202
199 -0.0196407 1.22344
200 1.50778 -2.32076
201 1.31229 0.560097
202 0.901403 2.01962
203 -1.14033 2.44662
204 -0.857904 0.0225163
205 2.32689 0.518104
206 1.2032 0.858743
207 0.446286 -1.5357
208 -0.116553 0.545674
209 0.00192443 -2.02822
210 2.0278 -2.17416
211 0.940496 -0.282763
212 -1.96828 0.119187
213 -0.0232993 -0.909432
214 -0.12883 -0.00940037
215 2.00271 -1.92881
216 1.80226 1.22036
217 1.78326 1.58084
218 1.01356 -0.495942
219 1.36962 0.972684
220 -2.31193 2.46464
221 -2.1531 -0.28692
222 -0.224517 1.0483
223 0.229981 0.733912
224 -0.239039 -0.72647
225 2.30842 2.38159
226 2.36119 1.23676
227 0.833787 -1.61764
228 -0.450282 -0.426815
229 0.574136 -0.229982
230 -0.502116 -0.797638
231 0.0287326 -1.98973
232 0.0860501 2.38614
233 -1.02244 -2.34508
234 -1.39725 1.76194
235 0.604342 1.04023
236 -1.83449 2.39073
237 -2.43483 0.82958
238 1.89527 -1.49931
239 -0.943391 1.56548
240 -0.765551 -1.70231
241 1.89559 1.72246
242 2.38681 -2.05344
243 -0.765755 -0.473302
244 -0.409672 0.673392
245 1.74446 0.16252
246 -0.76666 -0.334694
247 1.80923 2.44472
248 -1.44176 -2.2887
249 0.427621 1.90334
250 -0.821541 0.343518
251 0.880578 1.69645
252 1.25075 2.38798
253 2.20652 -1.8076
254 -2.17149 -0.145363
255 1.86049 2.33642
256 -2.19784 1.68071
257 -0.408801 -2.06184
258 -0.94059 -0.860013
259 0.516667 1.95895
260 1.16235 0.451331
261 2.34175 0.892531
262 2.34618 1.65832
263 -0.710248 -1.48747
264 1.57948 -1.26182
265 -0.389959 1.02803
266 0.754339 -0.757676
267 -0.218639 1.82952
268 -1.83373 2.4913
269 -0.319551 -1.89449
270 -2.19104 -0.0762836
271 -0.293099 -1.67266
272 -1.20327 2.35281
273 0.782622 -2.19164
274 -2.22404 1.89107
275 -0.858899 0.311643
276 2.15298 -2.1123
277 2.24386 0.28449
278 0.0772973 -2.09387
279 0.823472 0.861599
280 1.01756 -1.01372
281 -0.624583 2.333
282 -0.942148 -1.24683
283 1.12474 -0.273641
284 -0.66865 -1.40826
285 1.3694 -1.86359
286 1.67044 -0.216616
287 -1.29975 1.20799
